City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,12.12,98,100,1.79,NZ,1690228550
1,al jumum,21.6169,39.6981,34.97,19,51,1.74,SA,1690228551
2,ried im innkreis,48.2112,13.4886,19.36,95,100,2.72,AT,1690228552
3,nizhnesortymskiy,62.4397,71.7603,17.95,79,100,1.52,RU,1690228553
4,adamstown,-25.066,-130.1015,19.89,68,50,3.34,PN,1690228553
5,lazaro cardenas,17.9583,-102.2,32.19,55,100,2.53,MX,1690228553
6,griffith,41.5284,-87.4237,31.7,55,100,4.12,US,1690228553
7,bethel,41.3712,-73.414,30.03,54,40,4.63,US,1690228554
8,iqaluit,63.7506,-68.5145,7.85,75,75,3.6,CA,1690228555
9,alice springs,-23.7,133.8833,4.75,81,0,0.0,AU,1690228543
10,batang,-6.4846,110.7083,24.67,83,7,2.39,ID,1690228556
11,puerto deseado,-47.7503,-65.8938,4.64,73,99,9.66,AR,1690228292
12,puerto ayora,-0.7393,-90.3518,28.98,98,78,3.58,EC,1690228556
13,bubaque,11.2833,-15.8333,27.65,77,100,5.11,GW,1690228557
14,invercargill,-46.4,168.35,7.35,87,94,4.08,NZ,1690228558
15,el limon,10.3059,-67.6321,31.62,58,14,1.19,VE,1690228558
16,ushuaia,-54.8,-68.3,0.81,64,0,1.54,AR,1690228341
17,touros,-5.1989,-35.4608,26.06,73,18,7.77,BR,1690228559
18,hauterive,46.0901,3.4459,21.42,58,100,2.54,FR,1690228560
19,yellowknife,62.456,-114.3525,24.29,43,100,2.57,CA,1690228560
20,west island,-12.1568,96.8225,24.99,78,40,9.26,CC,1690228562
21,hamilton,39.1834,-84.5333,32.17,61,100,7.2,US,1690228397
22,port-aux-francais,-49.35,70.2167,3.83,72,100,11.1,TF,1690228563
23,stanley,54.868,-1.6985,12.66,80,75,1.03,GB,1690228563
24,puerto natales,-51.7236,-72.4875,-3.49,80,100,0.93,CL,1690228564
25,hawaiian paradise park,19.5933,-154.9731,27.24,84,100,2.57,US,1690228564
26,aldan,58.6031,125.3894,15.59,83,100,0.53,RU,1690228294
27,lompoc,34.6391,-120.4579,28.25,68,75,3.6,US,1690228566
28,grytviken,-54.2811,-36.5092,-5.93,77,18,4.69,GS,1690228566
29,margaret river,-33.95,115.0667,16.58,80,11,8.96,AU,1690228271
30,kopervik,59.2835,5.3067,16.08,88,40,6.69,NO,1690228566
31,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,82,20,3.0,RU,1690228567
32,isangel,-19.55,169.2667,19.06,100,100,1.54,VU,1690228567
33,port lincoln,-34.7333,135.8667,13.19,70,92,4.61,AU,1690228567
34,college,64.8569,-147.8028,28.04,60,40,0.0,US,1690228567
35,nadi,-17.8,177.4167,23.0,83,100,1.54,FJ,1690228318
36,allahabad,25.45,81.85,33.37,53,99,3.12,IN,1690228475
37,kapuskasing,49.4169,-82.4331,22.05,56,75,2.06,CA,1690228568
38,thompson,55.7435,-97.8558,25.09,36,20,4.12,CA,1690228568
39,novodvinsk,64.4165,40.8122,11.29,97,60,2.08,RU,1690228568
40,tshabong,-26.05,22.45,13.54,13,89,2.52,BW,1690228568
41,nemuro,43.3236,145.575,16.61,94,100,6.24,JP,1690228568
42,grand falls-windsor,48.9332,-55.6649,29.17,59,64,4.9,CA,1690228568
43,albany,42.6001,-73.9662,24.29,81,60,0.89,US,1690228545
44,scottburgh,-30.2867,30.7532,14.75,62,63,3.29,ZA,1690228569
45,manokwari,-0.8667,134.0833,25.6,80,82,1.83,ID,1690228569
46,tokar,18.4254,37.729,36.31,27,82,1.9,SD,1690228569
47,ilulissat,69.2167,-51.1,8.01,87,20,2.06,GL,1690228569
48,ust-nera,64.5667,143.2,15.68,70,96,2.89,RU,1690228569
49,colonia,50.9333,6.95,17.38,85,20,1.54,DE,1690228460
50,san antonio de pale,-1.4014,5.6325,22.75,84,100,4.55,GQ,1690228330
51,bilibino,68.0546,166.4372,10.07,91,100,0.73,RU,1690228570
52,happy valley-goose bay,53.3168,-60.3315,23.17,78,75,0.0,CA,1690228570
53,fortuna,40.5982,-124.1573,24.4,68,20,6.17,US,1690228570
54,lihue,21.9789,-159.3672,27.77,72,100,7.2,US,1690228570
55,banda aceh,5.5577,95.3222,26.85,71,77,5.87,ID,1690228570
56,mount gambier,-37.8333,140.7667,9.08,80,85,0.74,AU,1690228570
57,udachny,66.4167,112.4,13.03,93,25,2.49,RU,1690228325
58,primero de mayo,-32.2552,-58.4228,10.86,90,100,5.81,AR,1690228571
59,port mathurin,-19.6833,63.4167,23.15,77,45,8.0,MU,1690228571
60,papatowai,-46.5619,169.4708,6.9,87,81,3.36,NZ,1690228571
61,rongelap,11.1635,166.8941,28.5,74,94,8.97,MH,1690228571
62,atar,20.5169,-13.0499,37.4,23,13,4.08,MR,1690228571
63,newport,51.5877,-2.9984,16.57,85,97,2.9,GB,1690228572
64,okhotsk,59.3833,143.3,16.05,70,4,1.41,RU,1690228572
65,plettenberg bay,-34.0527,23.3716,9.87,72,0,2.47,ZA,1690228572
66,kitimat,54.0524,-128.6534,16.21,54,100,0.74,CA,1690228572
67,talnakh,69.4865,88.3972,13.45,72,85,0.84,RU,1690228572
68,carutapera,-1.195,-46.02,25.93,89,5,3.25,BR,1690228572
69,remire-montjoly,4.9167,-52.2667,24.02,94,75,5.14,GF,1690228573
70,ouani,-12.1322,44.4258,24.45,73,48,4.7,KM,1690228573
71,aykhal,66.0,111.5,13.17,92,99,2.61,RU,1690228573
72,qina,26.1642,32.7267,37.29,14,1,6.74,EG,1690228573
73,westport,41.1415,-73.3579,31.16,57,0,4.12,US,1690228574
74,ben gardane,33.1378,11.2197,33.93,32,0,7.59,TN,1690228574
75,weno,7.4515,151.8468,28.24,77,100,7.85,FM,1690228574
76,kruisfontein,-34.0033,24.7314,6.6,77,0,2.97,ZA,1690228574
77,nuporanga,-20.7308,-47.7306,27.77,36,9,1.78,BR,1690228574
78,mao,39.8885,4.2658,27.31,94,75,4.12,ES,1690228282
79,kutum,14.2,24.6667,28.74,36,100,2.75,SD,1690228575
80,badger,64.8,-147.5333,27.99,59,40,0.0,US,1690228575
